NTEE-CC,NTEEV2,Description,Extended Description,Policy Area
F52,RG-HEL-F52,Organizations that utilize a variety of techniques to help people who wish to control their dependence on nicotine and give up substances containing nicotine. Also included are smoking education/prevention programs that help persuade people to avoid the habit before they start.,NA,Unmapped
F53,RG-HEL-F53,"Organizations that provide diagnostic and treatment services for individuals who have anorexia nervosa, bulimarexia, bulimia or a related eating disorder.",NA,Medicaid
F54,RG-HEL-F54,"Organizations that provide emotional support, information and guidance for people who are having difficulty controlling their compulsion to gamble.",NA,Unmapped
F60,RG-HEL-F60,"Organizations that provide treatment services which may include emotional support, problem-solving assistance, information and guidance through a variety of counseling modalities for individuals who are having difficulty in coping with a traumatic experience or a personal relationship or in making the adjustments that are required by their particular stage in life.",NA,Medicaid
F70,RG-HEL-F70,"Organizations that provide preventive, diagnostic and treatment services that focus on a particular mental health disorder.",NA,Medicaid
F80,RG-HEL-F80,Organizations whose purpose is to promote social conditions that enhance the potential in the community for good mental health and to improve methods and facilities for treating mental illness.,NA,Unmapped
F99,RG-HEL-F99,Use this code for organizations that clearly provide mental health services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.,NA,Medicaid
G01,AA-HEL-G00,Alliance/Advocacy Organizations,NA,Unmapped
G0150,AA-HEL-G50,Alliance/Advocacy Organizations,"Providing support to voluntary health organizations active in the prevention or treatment of diseases or conditions that affect the nerves, muscles or bones. Use this code for organizations that focus on a wide variety of nerve, muscle and bone diseases or those not specified below. The related medical specialty is orthopedic surgery.",Unmapped
G0184,AA-HEL-G84,Alliance/Advocacy Organizations,"Providing support to voluntary health organizations active in the prevention or treatment of autism, a developmental disability, usually evident by age three, which affects a childs ability to communicate, understand language, play and relate to others.",Unmapped
G02,MT-HEL-G00,Management and Technical Assistance,NA,Unmapped
G03,PA-HEL-G00,Professional Societies/Associations,NA,Unmapped
G0340,PA-HEL-G40,Professional Societies/Associations,Providing support to voluntary health organizations active in the prevention or treatment of diseases and conditions that affect specific organs or organ systems in the body. Use this code for organizations that focus on diseases that affect a wide range of organs or organ systems or on those not specified below.,Unmapped
G0341,PA-HEL-G41,Professional Societies/Associations,Providing support to voluntary health organizations active in the prevention or treatment of blindness and diseases or other conditions that affect the eyes. The associated medical specialty is ophthalmology.,Unmapped
G0390,PA-HEL-G90,Professional Societies/Associations,"Providing support to organizations that represent physicians who have special training and expertise in one clinical area of practice which focuses on a specific age group, an organ system of the body, or on complex scientific techniques developed to diagnose or treat certain types of disorders. Use this code for organizations that represent a wide variety of medical disciplines or those that are not specified below.",Unmapped
